"Edad","Abandono","Viajes","Departamento","DistanciaDesdeCasa","Educacion","CampoDeEducacion","SatisfaccionEnAmbiente","Genero","Implicacion","NivelCargo","Puesto","SatisfaccionEnTrabajo","EstadoCivil","SueldoMensual","NumEmpresasTrabajadas","HorasExtra","PorcentajeAumentoSalarial","Rendimiento","RelacionSatisfaccion","NivelAcciones","AnosTotalesTrabajados","CursosUltimoAno","EquilibrioVidaTrabajo","AnosEnEmpresa","AnosEnPuestoActual","AnosDesdeUltimaPromocion","AnosConJefeActual","BeneficioNeto"
41,"Si","Viaja_Raramente","Ventas",1,2,"Ciencias de la Salud",2,"Mujer",3,2,"Ejecutivo de Ventas",4,"Soltero",5993,8,"Si",11,3,1,0,8,0,1,6,4,0,5,46306.0700066098
49,"No","Viaja_frecuentemente","Investigacion & Desarrollo",8,1,"Ciencias de la Salud",3,"Hombre",2,2,"Investigador Cientifico",2,"Casado",5130,1,"No",23,4,4,1,10,3,3,10,7,1,7,112479.393123981
37,"Si","Viaja_Raramente","Investigacion & Desarrollo",2,2,"Otro",4,"Hombre",2,1,"Tecnico de Laboratorio",3,"Soltero",2090,6,"Si",15,3,2,0,7,3,3,0,0,0,0,66720.413571639
33,"No","Viaja_frecuentemente","Investigacion & Desarrollo",3,4,"Ciencias de la Salud",4,"Mujer",3,1,"Investigador Cientifico",3,"Casado",2909,1,"Si",11,3,3,0,8,3,3,8,7,3,0,14841.345043579
27,"No","Viaja_Raramente","Investigacion & Desarrollo",2,1,"Medicina",1,"Hombre",3,1,"Tecnico de Laboratorio",2,"Casado",3468,9,"No",12,3,4,1,6,3,3,2,2,2,2,73976.19167349
32,"No","Viaja_frecuentemente","Investigacion & Desarrollo",2,2,"Ciencias de la Salud",4,"Hombre",3,1,"Tecnico de Laboratorio",4,"Soltero",3068,0,"No",13,3,3,0,8,2,2,7,7,3,6,32841.3470866303
59,"No","Viaja_Raramente","Investigacion & Desarrollo",3,3,"Medicina",3,"Mujer",4,1,"Tecnico de Laboratorio",1,"Casado",2670,4,"Si",20,4,1,3,12,3,2,1,0,0,0,19394.2242517419
30,"No","Viaja_Raramente","Investigacion & Desarrollo",24,1,"Ciencias de la Salud",4,"Hombre",3,1,"Tecnico de Laboratorio",3,"Divorciado",2693,1,"No",22,4,2,1,1,2,3,1,0,0,0,47916.086736459
38,"No","Viaja_frecuentemente","Investigacion & Desarrollo",23,3,"Ciencias de la Salud",4,"Hombre",2,3,"Manufacturing Director",3,"Soltero",9526,0,"No",21,4,2,0,10,2,3,9,7,1,8,32306.8968345291
36,"No","Viaja_Raramente","Investigacion & Desarrollo",27,3,"Medicina",3,"Hombre",3,2,"Representante de Salud",3,"Casado",5237,6,"No",13,3,2,2,17,3,2,7,7,7,7,-22694.0983921934
35,"No","Viaja_Raramente","Investigacion & Desarrollo",16,3,"Medicina",1,"Hombre",4,1,"Tecnico de Laboratorio",2,"Casado",2426,0,"No",13,3,3,1,6,5,3,5,4,0,3,66708.0506677802
29,"No","Viaja_Raramente","Investigacion & Desarrollo",15,2,"Ciencias de la Salud",4,"Mujer",2,2,"Tecnico de Laboratorio",3,"Soltero",4193,0,"Si",12,3,4,0,10,3,3,9,5,0,8,33946.0690637312
31,"No","Viaja_Raramente","Investigacion & Desarrollo",26,1,"Ciencias de la Salud",1,"Hombre",3,1,"Investigador Cientifico",3,"Divorciado",2911,1,"No",17,3,4,1,5,1,2,5,2,4,3,36953.0911494424
34,"No","Viaja_Raramente","Investigacion & Desarrollo",19,2,"Medicina",2,"Hombre",3,1,"Tecnico de Laboratorio",4,"Divorciado",2661,0,"No",11,3,3,1,3,2,3,2,2,1,2,105221.186547351
28,"Si","Viaja_Raramente","Investigacion & Desarrollo",24,3,"Ciencias de la Salud",3,"Hombre",2,1,"Tecnico de Laboratorio",3,"Soltero",2028,5,"Si",14,3,2,0,6,4,3,4,2,0,3,62767.2951448955
29,"No","Viaja_Raramente","Investigacion & Desarrollo",21,4,"Ciencias de la Salud",2,"Mujer",4,3,"Manufacturing Director",1,"Divorciado",9980,1,"No",11,3,3,1,10,1,3,10,9,8,8,33804.0421552673
32,"No","Viaja_Raramente","Investigacion & Desarrollo",5,2,"Ciencias de la Salud",1,"Hombre",4,1,"Investigador Cientifico",2,"Divorciado",3298,0,"Si",12,3,4,2,7,5,2,6,2,0,5,65567.955359534
22,"No","No_Viaja","Investigacion & Desarrollo",16,2,"Medicina",4,"Hombre",4,1,"Tecnico de Laboratorio",4,"Divorciado",2935,1,"Si",13,3,2,2,1,2,2,1,0,0,0,55225.9186727065
53,"No","Viaja_Raramente","Ventas",2,4,"Ciencias de la Salud",1,"Mujer",2,4,"Manager",4,"Casado",15427,2,"No",16,3,3,0,31,3,3,25,8,3,7,47573.4406537962
38,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",4,"Hombre",3,1,"Investigador Cientifico",4,"Soltero",3944,5,"Si",11,3,3,0,6,3,3,3,2,1,2,43070.2791948137
24,"No","No_Viaja","Investigacion & Desarrollo",11,2,"Otro",1,"Mujer",4,2,"Manufacturing Director",3,"Divorciado",4011,0,"No",18,3,4,1,5,5,2,4,2,1,3,77898.6666046643
36,"Si","Viaja_Raramente","Ventas",9,4,"Ciencias de la Salud",3,"Hombre",2,1,"Representante de Ventas",1,"Soltero",3407,7,"No",23,4,2,0,10,0,3,5,3,0,3,84206.4631326321
34,"No","Viaja_Raramente","Investigacion & Desarrollo",7,4,"Ciencias de la Salud",1,"Mujer",3,3,"Director de Investigacion",2,"Soltero",11994,0,"No",11,3,3,0,13,4,3,12,6,2,11,65123.1402421786
21,"No","Viaja_Raramente","Investigacion & Desarrollo",15,2,"Ciencias de la Salud",3,"Hombre",3,1,"Investigador Cientifico",4,"Soltero",1232,1,"No",14,3,4,0,0,6,3,0,0,0,0,77604.5077056367
34,"Si","Viaja_Raramente","Investigacion & Desarrollo",6,1,"Medicina",2,"Hombre",3,1,"Investigador Cientifico",1,"Soltero",2960,2,"No",11,3,3,0,8,2,3,4,2,1,3,61464.6711928896
53,"No","Viaja_Raramente","Investigacion & Desarrollo",5,3,"Otro",3,"Mujer",3,5,"Manager",3,"Divorciado",19094,4,"No",11,3,4,1,26,3,2,14,13,4,8,39679.3749533731
32,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",16,1,"Ciencias de la Salud",2,"Mujer",1,1,"Investigador Cientifico",1,"Soltero",3919,1,"Si",22,4,2,0,10,5,3,10,2,6,7,17539.4463503558
42,"No","Viaja_Raramente","Ventas",8,4,"Marketing",3,"Hombre",3,2,"Ejecutivo de Ventas",2,"Casado",6825,0,"No",11,3,4,1,10,2,3,9,7,4,2,15764.1495785354
44,"No","Viaja_Raramente","Investigacion & Desarrollo",7,4,"Medicina",1,"Mujer",2,3,"Representante de Salud",4,"Casado",10248,3,"No",14,3,4,1,24,4,3,22,6,5,17,29734.4817338523
46,"No","Viaja_Raramente","Ventas",2,4,"Marketing",2,"Mujer",3,5,"Manager",1,"Soltero",18947,3,"No",12,3,4,0,22,2,2,2,2,2,1,63426.6165006187
33,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Medicina",3,"Hombre",3,1,"Tecnico de Laboratorio",4,"Soltero",2496,4,"No",11,3,4,0,7,3,3,1,1,0,0,49693.3335266132
44,"No","Viaja_Raramente","Investigacion & Desarrollo",10,4,"Otro",4,"Hombre",3,2,"Representante de Salud",4,"Casado",6465,2,"Si",13,3,4,0,9,5,4,4,2,1,3,16421.0432885931
30,"No","Viaja_Raramente","Investigacion & Desarrollo",9,2,"Medicina",4,"Hombre",2,1,"Tecnico de Laboratorio",3,"Soltero",2206,1,"No",13,3,1,0,10,5,3,10,0,1,8,54775.8460508509
39,"Si","Viaja_Raramente","Ventas",5,3,"Tecnico",4,"Hombre",3,2,"Representante de Ventas",4,"Casado",2086,3,"No",14,3,3,1,19,1,4,1,0,0,0,89633.3541883551
24,"Si","Viaja_Raramente","Investigacion & Desarrollo",1,3,"Medicina",2,"Hombre",3,1,"Investigador Cientifico",4,"Casado",2293,2,"Si",16,3,1,1,6,2,2,2,0,2,0,111148.556192337
43,"No","Viaja_Raramente","Investigacion & Desarrollo",2,2,"Medicina",4,"Mujer",4,1,"Investigador Cientifico",3,"Divorciado",2645,1,"No",12,3,4,2,6,3,2,5,3,1,4,20536.3191172639
50,"Si","Viaja_Raramente","Ventas",3,2,"Marketing",1,"Hombre",2,1,"Representante de Ventas",3,"Casado",2683,1,"Si",14,3,3,0,3,4,3,3,2,0,2,56378.593086616
35,"No","Viaja_Raramente","Ventas",2,3,"Marketing",4,"Mujer",3,1,"Representante de Ventas",4,"Casado",2014,1,"No",13,3,1,0,2,3,3,2,2,2,2,32438.5016748025
36,"No","Viaja_Raramente","Investigacion & Desarrollo",5,4,"Ciencias de la Salud",2,"Mujer",2,1,"Investigador Cientifico",1,"Casado",3419,9,"Si",14,3,4,1,6,3,4,1,1,0,0,38362.2572245835
33,"No","Viaja_frecuentemente","Ventas",1,3,"Ciencias de la Salud",3,"Mujer",4,2,"Ejecutivo de Ventas",1,"Casado",5376,2,"No",19,3,1,2,10,3,3,5,3,1,3,29297.0910719333
35,"No","Viaja_Raramente","Investigacion & Desarrollo",4,2,"Otro",3,"Hombre",3,1,"Tecnico de Laboratorio",4,"Divorciado",1951,1,"No",12,3,3,1,1,3,3,1,0,0,0,19327.1039003779
27,"No","Viaja_Raramente","Investigacion & Desarrollo",2,4,"Ciencias de la Salud",4,"Mujer",3,1,"Tecnico de Laboratorio",1,"Divorciado",2341,1,"No",13,3,4,1,1,6,3,1,0,0,0,80471.6698777482
